#Time_(min)	IL6 (ng/mL)	IFNɣ (ng/mL)	OS-M (ng/mL)	STAT1AvgNuc-Cyt	STAT3AvgNuc-Cyt	STAT1NucAvg	STAT3NucAvg	TotDNA
60.000000	16.700000	0.000000	2.800000	2.215726	2.178859	2.787138	2.677271	4.709527
60.000000	0.000000	16.700000	25.000000	2.581781	2.328237	2.902994	2.734582	4.692957
60.000000	0.000000	16.700000	8.300000	2.573473	2.220587	2.899155	2.684508	4.689161
60.000000	0.000000	16.700000	2.800000	2.587745	2.104590	2.903247	2.645343	4.695478
60.000000	0.000000	16.700000	0.000000	2.612507	1.651074	2.922001	2.563419	4.710080
60.000000	5.600000	50.000000	0.000000	2.608844	1.844336	2.922160	2.604184	4.713064
60.000000	5.600000	16.700000	0.000000	2.572181	1.822131	2.920842	2.594363	4.704649
60.000000	5.600000	5.600000	0.000000	2.580080	1.816488	2.905202	2.577689	4.704725
60.000000	5.600000	0.000000	0.000000	2.129682	1.745420	2.769285	2.553485	4.715459
60.000000	5.600000	0.000000	25.000000	2.284438	2.287274	2.803595	2.726462	4.716940
60.000000	5.600000	0.000000	8.300000	2.239254	2.244853	2.801226	2.709390	4.725107
60.000000	5.600000	0.000000	2.800000	2.182586	2.105190	2.785265	2.661828	4.707411
60.000000	0.000000	5.600000	25.000000	2.569489	2.318809	2.903613	2.742542	4.731978
60.000000	0.000000	5.600000	8.300000	2.570327	2.227878	2.903654	2.704180	4.706857
60.000000	0.000000	5.600000	2.800000	2.578478	2.097416	2.902312	2.654064	4.698458
60.000000	0.000000	5.600000	0.000000	2.597972	1.626859	2.920639	2.563271	4.728784
60.000000	0.000000	0.000000	0.000000	2.182822	1.591800	2.783072	2.536094	4.740609
60.000000	0.000000	0.000000	25.000000	2.272272	2.288476	2.807490	2.734582	4.735418
60.000000	0.000000	0.000000	8.300000	2.200598	2.146464	2.792267	2.690876	4.742791
60.000000	0.000000	0.000000	2.800000	2.190902	2.059723	2.784049	2.653632	4.730920
120.000000	50.000000	50.000000	0.000000	2.625724	1.547602	2.919282	2.488553	4.676726
120.000000	50.000000	16.700000	0.000000	2.591505	1.503327	2.900781	2.474792	4.640580
120.000000	50.000000	5.600000	0.000000	2.561216	1.499463	2.889048	2.479687	4.639702
120.000000	50.000000	0.000000	0.000000	2.146057	1.422358	2.764038	2.484048	4.652382
120.000000	50.000000	0.000000	25.000000	2.185161	2.114373	2.772308	2.638422	4.660084
120.000000	50.000000	0.000000	8.300000	2.190540	2.070676	2.774118	2.618550	4.684830
120.000000	50.000000	0.000000	2.800000	2.195305	1.940072	2.781832	2.576371	4.681562
120.000000	0.000000	50.000000	25.000000	2.570322	2.094920	2.896584	2.625685	4.650173
120.000000	0.000000	50.000000	8.300000	2.580470	2.006252	2.902788	2.596299	4.655873
120.000000	0.000000	50.000000	2.800000	2.584739	1.894008	2.907696	2.558063	4.642529
